AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
4,10000,1700,1,69875,1927469
4,10000,1700,2,100490,2522638
4,10000,1700,3,132717,3847458
4,10000,1700,4,162801,4021485
4,10000,1800,0,37829,980521
4,10000,1800,1,70369,1835656
4,10000,1800,2,102866,2632381
4,10000,1800,3,135024,3447124
4,10000,1800,4,167842,4447534
4,10000,1900,0,38243,1004825
4,10000,1900,1,68264,2315551
4,10000,1900,2,98405,2624021
4,10000,1900,3,135484,4388701
4,10000,1900,4,168251,4418478
4,10000,2000,0,38506,1011606
4,10000,2000,1,70872,1885265
4,10000,2000,2,103530,2667825
4,10000,2000,3,135740,3481197
4,10000,2000,4,168307,4323941
4,10000,2100,0,38836,1087025
4,10000,2100,1,71339,1929676
4,10000,2100,2,103715,2615930
4,10000,2100,3,136320,3483013
4,10000,2100,4,168655,4262865
4,10000,2200,0,39115,1026351
4,10000,2200,1,71571,1861081
4,10000,2200,2,103930,2639059
4,10000,2200,3,136566,3486013
4,10000,2200,4,169019,4331781
4,10000,2300,0,39379,1032035
4,10000,2300,1,71920,1906566
4,10000,2300,2,104322,2675783
4,10000,2300,3,136937,3514645
4,10000,2300,4,169224,4305956
4,10000,2400,0,39508,1022190
4,10000,2400,1,69563,1751476
4,10000,2400,2,104433,2685849
4,10000,2400,3,136996,3505172
4,10000,2400,4,167415,4295455
4,10000,2500,0,40042,1047317
4,10000,2500,1,72368,1913439
4,10000,2500,2,102627,2590156
4,10000,2500,3,135085,3385773
4,10000,2500,4,170010,4353872
4,10000,2600,0,40344,1057418
4,10000,2600,1,72846,1894527
4,10000,2600,2,105372,2755345
4,10000,2600,3,137903,3537828
4,10000,2600,4,169944,4367779
4,10000,2700,0,40467,1069422
4,10000,2700,1,72968,1932049
4,10000,2700,2,105209,2886779
4,10000,2700,3,137778,3544279
4,10000,2700,4,170150,4320415
4,10000,2800,0,40910,1119715
4,10000,2800,1,73325,1957250
4,10000,2800,2,105593,2714929
4,10000,2800,3,138191,3521275
4,10000,2800,4,170786,4387102
4,10000,2900,0,41195,1093509
4,10000,2900,1,73656,1928174
4,10000,2900,2,106168,2747098
4,10000,2900,3,138538,3535535
4,10000,2900,4,171122,4855571
4,10000,3000,0,41544,1124683
4,10000,3000,1,74043,1951631
4,10000,3000,2,106462,2736214
4,10000,3000,3,138862,3574417
4,10000,3000,4,171319,4420431
2,100000,100,0,350465,10142049
2,100000,100,1,690727,21124637
2,100000,100,2,1042850,30849266
2,100000,100,3,1376241,41663209
2,100000,100,4,1705568,52562935
2,100000,200,0,347800,11364554
2,100000,200,1,691532,21518413
2,100000,200,2,1035051,30604171
2,100000,200,3,1395971,50989459
2,100000,200,4,1703903,54394176
2,100000,300,0,349914,10377890
2,100000,300,1,697142,20432922
2,100000,300,2,1021448,30250715
2,100000,300,3,1381431,43561929
2,100000,300,4,1727385,52582288
2,100000,400,0,338278,9652210
2,100000,400,1,684193,20989275
2,100000,400,2,1036568,29764063
